,room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price
285,403167,1969293,Entire home/apt,Misericórdia,11,4.0,6,2.0,109.0
2700,3794249,19484653,Entire home/apt,Santa Maria Maior,11,4.0,4,2.0,58.0
6357,11178568,3953109,Entire home/apt,São Vicente,12,4.0,5,2.0,56.0
10612,16930140,113107966,Entire home/apt,São Vicente,12,4.0,6,2.0,58.0
653,751806,3953109,Entire home/apt,Santa Maria Maior,13,4.0,6,2.0,81.0
1028,1203721,6571214,Entire home/apt,Campo de Ourique,13,4.0,4,2.0,71.0
5246,8318597,2174752,Entire home/apt,Arroios,13,4.0,7,2.0,115.0
7603,13134143,73163236,Entire home/apt,Misericórdia,13,4.0,4,2.0,69.0
1371,1749657,8365313,Entire home/apt,Santa Maria Maior,14,4.0,4,2.0,87.0
3718,5801408,3953109,Entire home/apt,Misericórdia,14,4.0,6,2.0,84.0
4644,7238900,37900681,Entire home/apt,Alcântara,14,4.0,4,2.0,40.0
5519,9089892,47397125,Entire home/apt,São Vicente,14,4.0,4,2.0,52.0
5819,9836673,8031057,Entire home/apt,Misericórdia,14,4.0,4,2.0,75.0
6704,11787864,62776838,Entire home/apt,Misericórdia,14,4.0,4,2.0,104.0
7732,13307141,75179256,Entire home/apt,Santa Maria Maior,15,4.0,4,2.0,69.0
4351,6725593,12318654,Entire home/apt,Estrela,16,4.0,5,2.0,77.0
5726,9643897,34827624,Entire home/apt,São Vicente,16,4.0,4,2.0,87.0
7777,13353429,3953109,Entire home/apt,Santa Maria Maior,16,4.0,4,2.0,94.0
3495,5445142,8333365,Entire home/apt,Parque das Nações,17,4.0,4,2.0,55.0
4970,7799532,3071929,Entire home/apt,São Vicente,17,4.0,4,2.0,58.0
1737,2561733,7146174,Entire home/apt,Misericórdia,18,4.0,4,2.0,75.0
4023,6291053,32707585,Entire home/apt,Arroios,18,4.0,6,2.0,93.0
8664,14370125,62648338,Entire home/apt,Misericórdia,18,4.0,4,2.0,80.0
3470,5383373,6925599,Entire home/apt,São Vicente,19,4.0,4,2.0,69.0
